Product ID,Category,Inventory Level,Units Sold,Price,Discount,Demand Forecast,Inventory Gap,Days of Inventory,Inventory Status,Suggested Order,Competitor Pricing
P0005,Toys,281,156,83.29,20,150.9,130.1,1.9,Overstock,0.0,80.64
P0006,Furniture,492,250,85.59,20,242.57,249.43,2.0,Overstock,0.0,86.82
P0007,Groceries,460,393,91.13,5,401.48,58.51999999999998,1.1,Overstock,0.0,93.33
P0008,Electronics,304,29,66.96,20,35.54,268.46,8.6,Overstock,0.0,65.36
P0009,Clothing,113,9,81.29,5,14.78,98.22,7.6,Overstock,0.0,82.06
P0010,Electronics,157,126,60.84,0,132.75,24.25,1.2,Overstock,0.0,65.22
P0011,Groceries,67,13,34.62,0,7.44,59.56,9.0,Overstock,0.0,33.98
P0012,Groceries,281,25,19.56,5,37.27,243.73,7.5,Overstock,0.0,19.01
P0013,Clothing,389,283,57.78,20,299.7,89.30000000000001,1.3,Overstock,0.0,58.5
P0014,Electronics,465,359,91.28,20,370.36,94.63999999999999,1.3,Overstock,0.0,90.85
P0015,Toys,197,129,59.9,15,148.55,48.44999999999999,1.3,Overstock,0.0,55.23
P0016,Toys,242,63,45.65,20,58.07,183.93,4.2,Overstock,0.0,42.17
P0017,Groceries,398,373,11.71,20,390.89,7.110000000000014,1.0,Healthy,0.0,10.0
P0018,Groceries,234,160,58.84,5,177.41,56.59,1.3,Overstock,0.0,54.39
P0019,Toys,67,15,84.99,5,34.38,32.62,1.9,Overstock,0.0,81.02
P0020,Toys,221,101,87.1,0,115.0,106.0,1.9,Overstock,0.0,91.56
P0001,Toys,241,147,67.21,5,161.09,79.91,1.5,Overstock,0.0,67.39
P0002,Electronics,115,4,28.2,10,11.11,103.89,10.4,Overstock,0.0,25.63
P0003,Groceries,375,77,56.16,10,75.04,299.96,5.0,Overstock,0.0,57.16
P0004,Toys,153,31,89.53,20,42.99,110.00999999999999,3.6,Overstock,0.0,93.6
P0005,Clothing,438,325,97.95,20,330.92,107.07999999999998,1.3,Overstock,0.0,93.54
P0006,Groceries,456,163,76.37,5,159.17,296.83000000000004,2.9,Overstock,0.0,71.38
P0007,Electronics,189,34,86.99,15,26.91,162.09,7.0,Overstock,0.0,90.5
P0008,Toys,223,47,66.53,15,45.48,177.52,4.9,Overstock,0.0,70.46
P0009,Groceries,381,15,74.86,15,30.05,350.95,12.7,Overstock,0.0,73.93
P0010,Groceries,166,126,97.09,5,141.34,24.659999999999997,1.2,Overstock,0.0,95.8
P0011,Toys,292,232,56.19,0,242.02,49.97999999999999,1.2,Overstock,0.0,57.85
P0012,Electronics,311,175,90.38,20,176.75,134.25,1.8,Overstock,0.0,89.52
P0013,Furniture,51,17,73.98,20,12.86,38.14,4.0,Overstock,0.0,76.65
P0014,Electronics,398,369,79.03,5,387.88,10.120000000000005,1.0,Healthy,0.0,82.51
P0015,Clothing,445,260,27.72,5,266.36,178.64,1.7,Overstock,0.0,23.28
P0016,Groceries,487,347,98.18,15,349.36,137.64,1.4,Overstock,0.0,99.58
P0017,Clothing,429,150,27.1,5,157.82,271.18,2.7,Overstock,0.0,27.4
P0018,Toys,204,70,97.08,15,83.01,120.99,2.5,Overstock,0.0,94.88
P0019,Clothing,330,249,26.71,15,268.25,61.75,1.2,Overstock,0.0,24.81
P0020,Electronics,431,370,95.85,20,387.57,43.43000000000001,1.1,Overstock,0.0,95.7
P0001,Toys,477,271,15.62,15,286.65,190.35000000000002,1.7,Overstock,0.0,16.09
P0002,Clothing,462,180,41.13,5,176.06,285.94,2.6,Overstock,0.0,45.05
P0003,Clothing,446,344,89.32,20,352.93,93.07,1.3,Overstock,0.0,93.0
P0004,Groceries,437,0,87.23,10,-2.4,439.4,-182.1,Overstock,0.0,90.36
P0005,Groceries,397,200,81.72,0,196.57,200.43,2.0,Overstock,0.0,85.22
P0006,Electronics,470,382,41.35,10,396.4,73.60000000000002,1.2,Overstock,0.0,39.86
P0007,Electronics,264,190,67.26,20,197.45,66.55000000000001,1.3,Overstock,0.0,64.78
P0008,Furniture,250,51,85.88,20,54.98,195.02,4.5,Overstock,0.0,86.14
P0009,Furniture,63,40,59.23,10,51.78,11.219999999999999,1.2,Overstock,0.0,61.1
P0010,Groceries,447,104,33.48,15,115.03,331.97,3.9,Overstock,0.0,37.15
P0011,Electronics,205,46,54.84,0,46.65,158.35,4.4,Overstock,0.0,57.76
P0012,Electronics,349,9,14.25,5,0.95,348.05,367.4,Overstock,0.0,18.56
P0013,Furniture,191,56,61.81,0,54.47,136.53,3.5,Overstock,0.0,63.92
P0014,Electronics,406,63,66.94,10,69.73,336.27,5.8,Overstock,0.0,68.47
P0015,Clothing,228,181,60.54,5,171.96,56.03999999999999,1.3,Overstock,0.0,65.27
P0016,Groceries,263,94,94.26,15,98.05,164.95,2.7,Overstock,0.0,96.74
P0017,Electronics,203,46,25.55,0,55.12,147.88,3.7,Overstock,0.0,28.07
P0018,Groceries,143,8,16.73,5,27.3,115.7,5.2,Overstock,0.0,18.79
P0019,Groceries,359,172,71.2,15,181.25,177.75,2.0,Overstock,0.0,73.85
P0020,Clothing,211,68,11.5,20,86.27,124.73,2.4,Overstock,0.0,9.26
P0001,Toys,111,77,70.33,10,83.47,27.53,1.3,Overstock,0.0,70.29
P0002,Clothing,415,298,57.15,5,292.96,122.04000000000002,1.4,Overstock,0.0,60.71
P0003,Electronics,384,64,36.17,5,76.02,307.98,5.1,Overstock,0.0,40.93
P0004,Furniture,436,300,50.77,15,292.04,143.95999999999998,1.5,Overstock,0.0,54.7
P0005,Clothing,180,21,92.86,15,38.63,141.37,4.7,Overstock,0.0,96.3
P0006,Groceries,185,176,60.76,20,174.06,10.939999999999998,1.1,Overstock,0.0,61.15
P0007,Clothing,292,131,46.47,15,122.6,169.4,2.4,Overstock,0.0,50.84
P0008,Toys,478,317,34.08,5,328.64,149.36,1.5,Overstock,0.0,30.44
P0009,Groceries,182,97,87.81,5,92.62,89.38,2.0,Overstock,0.0,85.45
P0010,Clothing,87,8,37.04,10,14.38,72.62,6.1,Overstock,0.0,36.87
P0011,Groceries,427,104,54.12,10,94.65,332.35,4.5,Overstock,0.0,53.03
P0012,Electronics,245,87,67.64,15,90.59,154.41,2.7,Overstock,0.0,63.53
P0013,Furniture,317,238,82.18,5,256.57,60.43000000000001,1.2,Overstock,0.0,87.09
P0014,Electronics,325,171,42.62,20,188.55,136.45,1.7,Overstock,0.0,42.01
P0015,Furniture,411,250,11.54,10,260.79,150.20999999999998,1.6,Overstock,0.0,11.27
P0016,Clothing,71,11,16.3,5,1.85,69.15,38.4,Overstock,0.0,17.98
P0017,Electronics,388,371,98.31,15,390.04,-2.0400000000000205,1.0,Healthy,0.0,102.42
P0018,Furniture,161,107,48.96,10,103.97,57.03,1.5,Overstock,0.0,50.03
P0019,Groceries,235,106,88.22,5,119.33,115.67,2.0,Overstock,0.0,91.16
P0020,Electronics,108,101,11.04,10,105.92,2.0799999999999983,1.0,Healthy,0.0,9.14
P0001,Groceries,116,81,27.95,10,92.94,23.060000000000002,1.2,Overstock,0.0,30.89
P0002,Clothing,416,163,19.78,15,171.6,244.4,2.4,Overstock,0.0,18.76
P0003,Clothing,488,464,70.99,10,463.12,24.879999999999995,1.1,Overstock,0.0,72.93
P0004,Groceries,248,116,49.56,5,133.92,114.08000000000001,1.9,Overstock,0.0,50.46
P0005,Electronics,238,200,23.76,15,204.3,33.69999999999999,1.2,Overstock,0.0,19.19
P0006,Furniture,471,58,47.56,0,51.57,419.43,9.1,Overstock,0.0,46.82
P0007,Electronics,178,56,17.1,5,60.3,117.7,3.0,Overstock,0.0,17.0
P0008,Clothing,92,74,58.89,5,67.04,24.959999999999994,1.4,Overstock,0.0,61.56
P0009,Toys,99,54,99.76,20,70.6,28.400000000000006,1.4,Overstock,0.0,95.61
P0010,Clothing,171,39,11.44,5,47.8,123.2,3.6,Overstock,0.0,12.71
P0011,Furniture,215,12,53.84,0,16.92,198.07999999999998,12.7,Overstock,0.0,53.79
P0012,Furniture,281,56,57.84,5,70.71,210.29000000000002,4.0,Overstock,0.0,60.99
P0013,Toys,455,31,35.51,15,44.46,410.54,10.2,Overstock,0.0,31.06
P0014,Electronics,84,25,31.41,0,23.36,60.64,3.6,Overstock,0.0,28.6
P0015,Electronics,246,198,28.06,20,203.23,42.77000000000001,1.2,Overstock,0.0,30.29
P0016,Electronics,399,77,35.67,15,67.55,331.45,5.9,Overstock,0.0,38.02
P0017,Furniture,242,165,28.18,5,181.86,60.139999999999986,1.3,Overstock,0.0,27.5
P0018,Toys,478,42,74.42,5,55.16,422.84000000000003,8.7,Overstock,0.0,69.67
P0019,Furniture,156,8,91.95,5,24.41,131.59,6.4,Overstock,0.0,87.43
P0020,Electronics,221,174,97.88,0,187.49,33.50999999999999,1.2,Overstock,0.0,99.5
P0001,Electronics,402,343,66.57,20,339.04,62.95999999999998,1.2,Overstock,0.0,63.92
P0002,Furniture,132,71,90.36,5,82.44,49.56,1.6,Overstock,0.0,86.73
P0003,Groceries,218,157,92.24,5,153.42,64.58000000000001,1.4,Overstock,0.0,89.57
P0004,Groceries,131,88,68.71,0,100.61,30.39,1.3,Overstock,0.0,69.34
P0005,Groceries,93,64,87.22,5,57.53,35.47,1.6,Overstock,0.0,90.59
P0006,Groceries,344,273,79.38,0,273.1,70.89999999999998,1.3,Overstock,0.0,77.28
P0007,Groceries,340,247,17.41,15,264.18,75.82,1.3,Overstock,0.0,13.57
P0008,Electronics,241,42,14.8,15,46.32,194.68,5.2,Overstock,0.0,13.94
P0009,Electronics,296,197,30.5,0,195.61,100.38999999999999,1.5,Overstock,0.0,28.86
P0010,Groceries,472,374,27.84,15,387.41,84.58999999999997,1.2,Overstock,0.0,32.0
P0011,Furniture,308,154,88.62,0,169.13,138.87,1.8,Overstock,0.0,86.3
P0012,Toys,434,236,82.35,20,239.09,194.91,1.8,Overstock,0.0,83.13
P0013,Toys,287,278,92.57,10,279.91,7.089999999999975,1.0,Healthy,0.0,97.09
P0014,Furniture,190,27,94.38,5,31.53,158.47,6.0,Overstock,0.0,89.47
P0015,Toys,353,106,70.59,0,110.49,242.51,3.2,Overstock,0.0,75.27
P0016,Toys,210,154,63.13,10,166.83,43.16999999999999,1.3,Overstock,0.0,67.23
P0017,Clothing,193,176,46.04,5,174.49,18.50999999999999,1.1,Overstock,0.0,41.4
P0018,Groceries,124,124,21.07,10,116.05,7.950000000000003,1.1,Overstock,0.0,21.71
P0019,Toys,492,479,79.11,0,469.74,22.25999999999999,1.0,Healthy,0.0,80.06
P0020,Clothing,222,78,64.99,0,76.55,145.45,2.9,Overstock,0.0,65.4
P0001,Toys,277,114,73.48,10,132.41,144.59,2.1,Overstock,0.0,72.55
P0002,Groceries,175,2,87.5,0,-3.4,178.4,-51.5,Overstock,0.0,91.2
P0003,Toys,157,7,88.68,20,22.8,134.2,6.9,Overstock,0.0,87.38
P0004,Furniture,120,54,82.36,20,49.64,70.36,2.4,Overstock,0.0,85.85
P0005,Furniture,375,282,38.56,5,297.42,77.57999999999998,1.3,Overstock,0.0,36.57
P0006,Groceries,302,93,97.74,0,106.58,195.42000000000002,2.8,Overstock,0.0,97.69
P0007,Electronics,375,85,37.68,15,85.31,289.69,4.4,Overstock,0.0,36.72
P0008,Clothing,248,136,36.03,5,130.52,117.47999999999999,1.9,Overstock,0.0,37.49
P0009,Electronics,219,140,88.97,0,139.46,79.53999999999999,1.6,Overstock,0.0,91.53
P0010,Furniture,146,79,16.48,10,94.23,51.769999999999996,1.5,Overstock,0.0,21.42
P0011,Furniture,218,106,58.37,10,117.65,100.35,1.9,Overstock,0.0,58.1
P0012,Groceries,260,1,27.86,5,1.99,258.01,130.7,Overstock,0.0,31.78
P0013,Electronics,414,203,39.14,5,206.35,207.65,2.0,Overstock,0.0,35.3
P0014,Toys,420,368,66.51,0,384.47,35.52999999999997,1.1,Overstock,0.0,70.84
P0015,Electronics,435,286,89.65,20,283.25,151.75,1.5,Overstock,0.0,84.99
P0016,Clothing,230,69,86.7,20,70.77,159.23000000000002,3.2,Overstock,0.0,91.05
P0017,Toys,456,52,29.69,20,65.67,390.33,6.9,Overstock,0.0,25.27
P0018,Toys,319,109,86.93,10,126.67,192.32999999999998,2.5,Overstock,0.0,82.59
P0019,Furniture,59,50,59.33,10,44.37,14.630000000000003,1.3,Overstock,0.0,54.98
P0020,Electronics,155,0,57.07,10,9.42,145.58,16.5,Overstock,0.0,53.34
P0001,Electronics,144,22,74.16,15,39.12,104.88,3.7,Overstock,0.0,69.74
P0002,Electronics,283,45,59.38,0,46.65,236.35,6.1,Overstock,0.0,62.4
P0003,Clothing,347,89,48.18,0,87.77,259.23,4.0,Overstock,0.0,49.64
P0004,Groceries,410,209,94.75,20,224.66,185.34,1.8,Overstock,0.0,90.1
P0005,Toys,99,4,60.89,5,14.91,84.09,6.6,Overstock,0.0,59.42
P0006,Toys,97,47,14.71,5,52.02,44.98,1.9,Overstock,0.0,16.85
P0007,Furniture,339,115,33.09,10,124.22,214.78,2.7,Overstock,0.0,28.55
P0008,Toys,144,27,98.75,15,21.73,122.27,6.6,Overstock,0.0,102.7
P0009,Furniture,110,90,12.4,20,103.6,6.400000000000006,1.1,Overstock,0.0,8.56
P0010,Groceries,348,206,92.01,15,214.99,133.01,1.6,Overstock,0.0,87.81
P0011,Toys,458,328,92.12,20,339.54,118.45999999999998,1.3,Overstock,0.0,87.37
P0012,Groceries,403,155,37.39,20,145.99,257.01,2.8,Overstock,0.0,38.71
P0013,Clothing,198,184,85.35,10,191.55,6.449999999999989,1.0,Healthy,0.0,80.79
P0014,Electronics,472,16,82.64,0,28.75,443.25,16.4,Overstock,0.0,78.35
P0015,Toys,178,90,92.19,10,98.56,79.44,1.8,Overstock,0.0,97.07
P0016,Clothing,215,178,61.41,0,180.76,34.24000000000001,1.2,Overstock,0.0,61.32
P0017,Electronics,477,256,96.47,20,254.89,222.11,1.9,Overstock,0.0,93.35
P0018,Furniture,198,27,89.33,0,25.51,172.49,7.8,Overstock,0.0,89.63
P0019,Groceries,110,67,59.49,20,79.41,30.590000000000003,1.4,Overstock,0.0,57.55
P0020,Electronics,254,84,73.05,15,77.15,176.85,3.3,Overstock,0.0,74.55
P0001,Groceries,223,67,67.49,5,74.8,148.2,3.0,Overstock,0.0,65.24
P0002,Furniture,100,15,66.05,10,28.97,71.03,3.5,Overstock,0.0,65.16
P0003,Toys,397,333,80.88,20,336.02,60.98000000000002,1.2,Overstock,0.0,84.97
P0004,Groceries,442,56,60.5,10,54.08,387.92,8.2,Overstock,0.0,64.88
P0005,Furniture,411,165,71.72,20,172.41,238.59,2.4,Overstock,0.0,75.17
P0006,Clothing,76,54,69.21,15,49.32,26.68,1.5,Overstock,0.0,71.17
P0007,Clothing,257,93,70.69,20,84.69,172.31,3.0,Overstock,0.0,71.37
P0008,Furniture,353,250,63.54,15,254.75,98.25,1.4,Overstock,0.0,61.05
P0009,Electronics,119,90,78.08,10,99.63,19.370000000000005,1.2,Overstock,0.0,73.69
P0010,Furniture,403,83,43.09,10,84.32,318.68,4.8,Overstock,0.0,47.02
P0011,Electronics,60,16,25.67,5,23.98,36.019999999999996,2.5,Overstock,0.0,27.78
P0012,Toys,182,87,38.59,20,83.13,98.87,2.2,Overstock,0.0,33.87
P0013,Furniture,455,241,57.99,5,235.03,219.97,1.9,Overstock,0.0,55.4
P0014,Toys,437,286,14.65,20,282.52,154.48000000000002,1.5,Overstock,0.0,13.12
P0015,Clothing,289,60,63.26,0,52.77,236.23,5.5,Overstock,0.0,61.02
P0016,Groceries,487,437,43.64,15,432.86,54.139999999999986,1.1,Overstock,0.0,39.13
P0017,Toys,418,377,84.85,20,383.26,34.74000000000001,1.1,Overstock,0.0,84.29
P0018,Clothing,89,83,47.05,15,78.67,10.329999999999998,1.1,Overstock,0.0,47.89
P0019,Clothing,421,203,76.83,20,220.23,200.77,1.9,Overstock,0.0,75.86
P0020,Clothing,211,183,93.95,10,190.11,20.889999999999986,1.1,Overstock,0.0,98.89
P0001,Electronics,154,5,62.7,20,5.36,148.64,28.7,Overstock,0.0,58.22
P0002,Clothing,282,199,54.02,0,193.26,88.74000000000001,1.5,Overstock,0.0,52.91
P0003,Toys,183,176,26.03,10,168.28,14.719999999999999,1.1,Overstock,0.0,29.38
P0004,Electronics,239,214,10.19,0,228.51,10.490000000000009,1.0,Healthy,0.0,7.82
P0005,Groceries,368,165,95.54,0,170.76,197.24,2.2,Overstock,0.0,91.29
P0006,Furniture,57,9,57.65,5,13.6,43.4,4.2,Overstock,0.0,58.01
P0007,Clothing,460,140,87.85,20,143.7,316.3,3.2,Overstock,0.0,91.9
P0008,Groceries,214,177,53.94,5,178.0,36.0,1.2,Overstock,0.0,51.47
P0009,Groceries,407,217,61.42,20,217.69,189.31,1.9,Overstock,0.0,65.86
P0010,Electronics,51,47,99.14,10,38.08,12.920000000000002,1.3,Overstock,0.0,102.66
P0011,Groceries,252,3,60.52,0,5.18,246.82,48.6,Overstock,0.0,62.72
P0012,Clothing,72,2,86.93,15,9.81,62.19,7.3,Overstock,0.0,83.11
P0013,Clothing,194,18,83.11,10,20.5,173.5,9.5,Overstock,0.0,85.16
P0014,Toys,302,242,32.28,10,255.54,46.46000000000001,1.2,Overstock,0.0,30.1
P0015,Toys,330,228,52.17,10,246.91,83.09,1.3,Overstock,0.0,52.43
P0016,Clothing,148,31,93.61,15,35.11,112.89,4.2,Overstock,0.0,94.15
P0017,Clothing,315,16,98.25,5,33.51,281.49,9.4,Overstock,0.0,100.34
P0018,Furniture,97,20,78.53,5,37.26,59.74,2.6,Overstock,0.0,75.48
P0019,Furniture,240,193,56.91,0,203.45,36.55000000000001,1.2,Overstock,0.0,54.2
P0020,Toys,178,118,35.32,20,110.02,67.98,1.6,Overstock,0.0,37.56
P0001,Toys,405,96,48.08,0,100.82,304.18,4.0,Overstock,0.0,49.4
P0002,Electronics,200,48,46.95,15,55.45,144.55,3.6,Overstock,0.0,43.48
P0003,Furniture,327,130,94.45,20,127.03,199.97,2.6,Overstock,0.0,99.26
P0004,Groceries,409,11,27.28,10,8.25,400.75,49.6,Overstock,0.0,28.61
P0005,Groceries,327,313,29.74,0,326.56,0.4399999999999977,1.0,Healthy,0.0,31.67
P0006,Furniture,388,352,27.64,5,365.82,22.180000000000007,1.1,Overstock,0.0,27.19
P0007,Toys,483,265,60.54,5,277.23,205.76999999999998,1.7,Overstock,0.0,55.83
P0008,Furniture,70,11,58.55,10,23.62,46.379999999999995,3.0,Overstock,0.0,63.45
P0009,Groceries,288,191,58.59,0,207.27,80.72999999999999,1.4,Overstock,0.0,60.98
P0010,Electronics,270,185,95.48,0,192.21,77.78999999999999,1.4,Overstock,0.0,91.76
P0011,Clothing,217,143,37.81,20,154.26,62.74000000000001,1.4,Overstock,0.0,37.14
P0012,Electronics,221,85,48.7,10,104.48,116.52,2.1,Overstock,0.0,51.33
P0013,Groceries,303,270,65.89,10,268.73,34.26999999999998,1.1,Overstock,0.0,64.52
P0014,Groceries,298,233,20.37,0,245.02,52.97999999999999,1.2,Overstock,0.0,23.3
P0015,Furniture,193,187,46.25,0,177.8,15.199999999999989,1.1,Overstock,0.0,49.2
P0016,Electronics,205,39,71.74,10,37.83,167.17000000000002,5.4,Overstock,0.0,76.17
P0017,Toys,427,234,20.57,10,231.16,195.84,1.8,Overstock,0.0,22.24
P0018,Clothing,365,213,29.88,20,208.31,156.69,1.8,Overstock,0.0,25.73
P0019,Clothing,111,55,73.98,15,71.88,39.120000000000005,1.5,Overstock,0.0,73.5
P0020,Groceries,271,22,45.02,10,15.3,255.7,17.7,Overstock,0.0,47.01
P0001,Clothing,134,100,82.88,10,100.66,33.34,1.3,Overstock,0.0,86.74
P0002,Groceries,405,353,17.36,0,355.08,49.920000000000016,1.1,Overstock,0.0,17.32
P0003,Electronics,290,255,42.7,20,246.78,43.22,1.2,Overstock,0.0,40.38
P0004,Clothing,403,154,89.67,15,166.81,236.19,2.4,Overstock,0.0,88.99
P0005,Clothing,311,147,65.77,0,154.97,156.03,2.0,Overstock,0.0,61.06
P0006,Electronics,448,342,95.74,10,357.52,90.48000000000002,1.3,Overstock,0.0,94.29
P0007,Furniture,277,54,98.9,0,48.62,228.38,5.7,Overstock,0.0,97.62
P0008,Toys,421,289,41.11,15,292.21,128.79000000000002,1.4,Overstock,0.0,36.9
P0009,Toys,241,179,42.07,0,198.59,42.41,1.2,Overstock,0.0,37.66
P0010,Furniture,186,175,95.89,0,177.8,8.199999999999989,1.0,Healthy,0.0,96.19
P0011,Clothing,413,209,84.12,5,220.54,192.46,1.9,Overstock,0.0,89.06
P0012,Toys,112,109,71.21,20,113.33,-1.3299999999999983,1.0,Healthy,0.0,74.71
P0013,Groceries,268,43,49.23,0,49.77,218.23,5.4,Overstock,0.0,47.75
P0014,Toys,347,58,21.87,10,49.31,297.69,7.0,Overstock,0.0,25.0
P0015,Electronics,495,399,60.83,0,390.1,104.89999999999998,1.3,Overstock,0.0,60.34
P0016,Clothing,324,95,56.78,20,111.3,212.7,2.9,Overstock,0.0,60.75
P0017,Clothing,330,296,76.12,5,297.58,32.420000000000016,1.1,Overstock,0.0,77.55
P0018,Electronics,297,105,98.9,10,104.66,192.34,2.8,Overstock,0.0,96.55
P0019,Clothing,169,103,46.24,5,107.67,61.33,1.6,Overstock,0.0,47.84
P0020,Toys,257,131,16.35,15,123.65,133.35,2.1,Overstock,0.0,19.59
P0001,Groceries,175,66,83.63,15,56.84,118.16,3.1,Overstock,0.0,79.9
P0002,Groceries,228,163,81.57,0,161.48,66.52000000000001,1.4,Overstock,0.0,77.66
P0003,Clothing,188,98,44.68,10,98.87,89.13,1.9,Overstock,0.0,42.55
P0004,Groceries,211,150,60.11,0,167.75,43.25,1.3,Overstock,0.0,62.3
P0005,Furniture,149,15,24.63,20,21.91,127.09,6.8,Overstock,0.0,27.97
P0006,Electronics,383,36,36.31,5,26.89,356.11,14.2,Overstock,0.0,34.82
P0007,Electronics,478,303,11.36,15,307.7,170.3,1.6,Overstock,0.0,15.64
P0008,Electronics,217,209,63.1,10,215.04,1.960000000000008,1.0,Healthy,0.0,65.17
P0009,Electronics,73,69,30.82,20,68.51,4.489999999999995,1.1,Overstock,0.0,35.26
P0010,Electronics,467,143,23.73,0,139.44,327.56,3.3,Overstock,0.0,21.84
P0011,Clothing,353,239,29.49,5,255.26,97.74000000000001,1.4,Overstock,0.0,31.68
P0012,Groceries,471,192,74.42,15,188.72,282.28,2.5,Overstock,0.0,75.61
P0013,Clothing,129,23,58.3,20,38.86,90.14,3.3,Overstock,0.0,59.12
P0014,Groceries,301,165,60.58,0,160.46,140.54,1.9,Overstock,0.0,58.02
P0015,Groceries,423,85,73.48,0,95.5,327.5,4.4,Overstock,0.0,77.0
P0016,Groceries,385,79,16.18,10,86.62,298.38,4.4,Overstock,0.0,18.35
P0017,Toys,74,33,38.52,15,43.64,30.36,1.7,Overstock,0.0,39.57
P0018,Electronics,467,270,46.93,0,270.37,196.63,1.7,Overstock,0.0,46.83
P0019,Toys,140,1,80.41,0,-3.91,143.91,-35.8,Overstock,0.0,76.9
P0020,Clothing,197,149,95.33,20,161.2,35.80000000000001,1.2,Overstock,0.0,97.42
P0001,Groceries,159,3,36.3,0,18.12,140.88,8.8,Overstock,0.0,34.96
P0002,Electronics,322,59,82.08,10,78.35,243.65,4.1,Overstock,0.0,84.13
P0003,Groceries,106,15,46.4,20,25.13,80.87,4.2,Overstock,0.0,49.42
P0004,Groceries,475,351,59.76,5,358.12,116.88,1.3,Overstock,0.0,57.14
P0005,Groceries,83,66,60.35,20,63.37,19.630000000000003,1.3,Overstock,0.0,60.81
P0006,Groceries,117,62,40.61,10,59.04,57.96,2.0,Overstock,0.0,44.37
P0007,Clothing,368,77,63.61,5,95.69,272.31,3.8,Overstock,0.0,63.81
P0008,Electronics,207,177,97.09,5,173.93,33.06999999999999,1.2,Overstock,0.0,95.17
P0009,Electronics,398,349,52.72,10,350.47,47.52999999999997,1.1,Overstock,0.0,55.74
P0010,Groceries,476,74,14.41,20,91.48,384.52,5.2,Overstock,0.0,11.25
P0011,Groceries,119,40,74.14,0,43.92,75.08,2.7,Overstock,0.0,69.67
P0012,Toys,77,72,46.94,20,68.01,8.989999999999995,1.1,Overstock,0.0,46.58
P0013,Toys,191,190,23.04,5,205.54,-14.539999999999992,0.9,Stockout Risk,14.539999999999992,19.33
P0014,Toys,419,263,28.02,5,263.83,155.17000000000002,1.6,Overstock,0.0,23.72
P0015,Toys,184,126,86.82,20,143.76,40.24000000000001,1.3,Overstock,0.0,85.26
P0016,Clothing,361,17,80.31,5,25.61,335.39,14.1,Overstock,0.0,76.56
P0017,Toys,154,19,41.28,10,37.45,116.55,4.1,Overstock,0.0,40.59
P0018,Toys,376,36,38.42,0,43.47,332.53,8.6,Overstock,0.0,35.98
P0019,Toys,268,207,59.93,20,198.44,69.56,1.4,Overstock,0.0,64.67
P0020,Toys,451,91,66.76,5,99.88,351.12,4.5,Overstock,0.0,62.53
P0001,Groceries,85,58,77.88,15,52.87,32.13,1.6,Overstock,0.0,75.99
P0002,Electronics,91,91,88.22,15,82.65,8.349999999999994,1.1,Overstock,0.0,87.44
P0003,Toys,184,70,10.55,15,82.51,101.49,2.2,Overstock,0.0,7.6
P0004,Electronics,209,0,44.81,5,15.37,193.63,13.6,Overstock,0.0,45.53
P0005,Electronics,470,32,69.65,10,45.57,424.43,10.3,Overstock,0.0,73.5
